return_id,order_id,request_date,return_reason
2540,O112535,2024-10-14,Defective
2541,O112566,025-8/-11,Defective
2542,O112568,024-2/-19,No longer needed
2543,O112605,2024-10-23,Missing/Wrong item
2544,O112633,024-1/-22,Not as described
2545,O112644,2024-11-20,No longer needed
2546,O112659,025-6/-24,No longer needed
2547,O112663,2024-12-19,Not as described
2548,O112693,025-6/-13,Missing/Wrong item
2549,O112694,025-7/-31,Defective
2550,O112712,2023-10-22,Defective
2551,O112715,025-7/-12,Defective
2552,O112729,025-9/-21,Missing/Wrong item
2553,O112761,024-3/-17,No longer needed
2554,O112764,025-4/-27,Defective
2555,O112797,025-8/-12,No longer needed
2556,O112803,25-/2-9/,Defective
2557,O112813,024-0/-4/,No longer needed
2558,O112835,25-/2-2/,No longer needed
2559,O112874,2024-10-26,Missing/Wrong item
2560,O112916,024-8/-22,No longer needed
2561,O112919,025-3/-16,No longer needed
2562,O112955,025-8/-11,Missing/Wrong item
2563,O112958,023-1/-5/,Defective
2564,O112984,024-6/-28,No longer needed
2565,O112987,2024-10-27,Defective
2566,O112996,25-/2-3/,Not as described
2567,O113002,024-9/-22,Not as described
2568,O113006,2024-12-21,Missing/Wrong item
2569,O113027,024-6/-21,Not as described
2570,O113033,24-/2-6/,No longer needed
2571,O113067,2024-10-28,Defective
2572,O113069,024-4/-18,Missing/Wrong item
2573,O113071,24-/2-8/,Slow delivery
2574,O113072,024-1/-20,Missing/Wrong item
2575,O113074,2024-12-18,Defective
2576,O113107,024-8/-17,Defective
2577,O113114,2024-12-31,Missing/Wrong item
2578,O113118,024-9/-26,No longer needed
2579,O113133,24-/2-8/,Defective
2580,O113214,2023-10-19,Defective
2581,O113219,025-2/-18,Missing/Wrong item
2582,O113228,025-4/-22,Slow delivery
2583,O113246,024-6/-14,Defective
2584,O113248,024-4/-18,Defective
2585,O113250,25-/2-9/,Defective
2586,O113261,025-5/-13,Missing/Wrong item
2587,O113262,025-2/-28,No longer needed
2588,O113275,025-6/-28,Missing/Wrong item
2589,O113281,024-7/-17,Not as described
2590,O113293,25-/2-8/,Defective
2591,O113307,025-9/-20,Not as described
2592,O113312,025-2/-23,Not as described
2593,O113329,024-2/-9/,Missing/Wrong item
2594,O113363,023-2/-6/,Not as described
2595,O113364,24-/2-8/,Missing/Wrong item
2596,O113369,023-2/-5/,No longer needed
2597,O113397,025-8/-26,No longer needed
2598,O113401,024-2/-7/,Defective
2599,O113419,2024-10-31,Defective
2600,O113499,25-/2-9/,Defective
2601,O113509,025-3/-30,Not as described
2602,O113519,025-9/-21,Missing/Wrong item
2603,O113530,2024-12-26,No longer needed
2604,O113602,25-/2-4/,Not as described
2605,O113646,025-4/-16,Missing/Wrong item
2606,O113670,024-2/-14,No longer needed
2607,O113674,025-6/-14,Not as described
2608,O113678,023-2/-1/,Not as described
2609,O113693,2024-11-22,Not as described
2610,O113723,024-9/-18,Missing/Wrong item
2611,O113733,024-7/-21,Not as described
2612,O113747,025-3/-19,Not as described
2613,O113770,24-/2-9/,Defective
2614,O113776,24-/2-6/,Defective
2615,O113782,025-8/-24,Not as described
2616,O113786,2023-11-16,No longer needed
2617,O113810,025-4/-18,No longer needed
2618,O113811,024-0/-9/,Not as described
2619,O113876,024-7/-27,Defective
2620,O113895,2024-12-18,Missing/Wrong item
2621,O113903,025-9/-12,Slow delivery
2622,O113912,24-/2-5/,Missing/Wrong item
2623,O113915,025-2/-10,Missing/Wrong item
2624,O113930,25-/2-6/,Not as described
2625,O113938,025-8/-29,Missing/Wrong item
2626,O113956,025-2/-12,Defective
2627,O113976,025-5/-17,Not as described
2628,O113980,025-6/-25,Missing/Wrong item
2629,O113997,2024-11-14,Defective
2630,O114016,025-3/-24,Missing/Wrong item
2631,O114038,025-4/-16,No longer needed
2632,O114054,024-3/-13,Slow delivery
2633,O114077,023-2/-2/,No longer needed
2634,O114093,025-7/-30,Defective
2635,O114112,024-1/-29,Defective
2636,O114170,2023-11-12,No longer needed
2637,O114190,024-1/-27,Defective
2638,O114211,25-/2-5/,Not as described
2639,O114242,024-8/-19,Not as described
2640,O114266,2023-11-29,No longer needed
2641,O114274,2024-10-11,Not as described
2642,O114307,024-3/-31,Defective
2643,O114319,024-8/-31,Defective
2644,O114397,024-5/-28,Not as described
2645,O114403,025-6/-24,No longer needed
2646,O114473,025-1/-31,No longer needed
2647,O114491,024-7/-27,Defective
2648,O114494,24-/2-4/,No longer needed
2649,O114507,025-8/-20,No longer needed
2650,O114549,24-/2-4/,No longer needed
2651,O114563,025-5/-17,Defective
2652,O114574,24-/2-5/,Missing/Wrong item
2653,O114591,025-0/-5/,Missing/Wrong item
2654,O114592,24-/2-2/,No longer needed
2655,O114593,24-/2-4/,Missing/Wrong item
2656,O114595,025-8/-25,No longer needed
2657,O114597,025-8/-19,Defective
2658,O114602,024-0/-2/,Not as described
2659,O114632,023-2/-1/,Defective
2660,O114634,2024-12-27,Not as described
2661,O114636,024-1/-5/,Defective
2662,O114638,025-7/-20,Not as described
2663,O114658,25-/2-8/,Not as described
2664,O114668,24-/2-5/,Missing/Wrong item
2665,O114683,25-/2-7/,Defective
2666,O114695,2023-10-26,Not as described
2667,O114727,2023-12-20,No longer needed
2668,O114759,023-2/-9/,No longer needed
2669,O114761,2023-12-20,Defective
2670,O114807,2023-12-25,Defective
2671,O114811,24-/2-3/,No longer needed
2672,O114828,024-1/-4/,Not as described
2673,O114836,24-/2-1/,No longer needed
2674,O114854,025-7/-28,No longer needed
2675,O114879,023-2/-5/,Not as described
2676,O114880,024-8/-28,Missing/Wrong item
2677,O114889,025-1/-18,No longer needed
2678,O114933,025-1/-18,No longer needed
2679,O114988,25-/2-8/,Missing/Wrong item
2680,O114990,025-8/-28,Missing/Wrong item
2681,O115012,025-7/-17,Defective
2682,O115015,025-5/-22,Not as described
2683,O115023,023-1/-3/,Not as described
2684,O115062,023-2/-2/,Defective
2685,O115078,025-3/-16,Missing/Wrong item
2686,O115083,2023-12-25,Not as described
2687,O115099,025-5/-11,Not as described
2688,O115124,024-1/-8/,No longer needed
2689,O115170,025-3/-27,Defective
2690,O115174,025-8/-29,Not as described
2691,O115213,24-/2-6/,Not as described
2692,O115234,24-/2-6/,Not as described
2693,O115245,025-4/-26,Not as described
2694,O115261,25-/2-9/,Defective
2695,O115269,025-1/-23,Defective
2696,O115272,2023-10-27,Not as described
2697,O115307,2024-11-16,Not as described
2698,O115312,024-4/-21,Not as described
2699,O115332,024-6/-23,Missing/Wrong item
2700,O115346,024-3/-14,No longer needed
2701,O115400,2024-12-12,No longer needed
2702,O115406,24-/2-1/,Defective
2703,O115422,2024-10-26,No longer needed
2704,O115427,025-1/-25,Defective
2705,O115455,025-3/-14,No longer needed
2706,O115512,2024-10-19,Defective
2707,O115525,2023-12-30,Not as described
2708,O115526,024-3/-23,No longer needed
2709,O115528,025-2/-28,Missing/Wrong item
2710,O115551,025-1/-20,No longer needed
2711,O115566,024-2/-7/,Defective
2712,O115570,24-/2-3/,Defective
2713,O115574,24-/2-4/,Not as described
2714,O115581,025-1/-28,Not as described
2715,O115671,024-8/-15,Defective
2716,O115735,25-/2-1/,No longer needed
2717,O115742,024-5/-15,Missing/Wrong item
2718,O115750,24-/2-7/,Not as described
2719,O115768,025-5/-16,Not as described
2720,O115787,024-1/-2/,Not as described
2721,O115807,25-/2-3/,No longer needed
2722,O115820,25-/2-7/,Missing/Wrong item
2723,O115830,2024-10-11,Missing/Wrong item
2724,O115842,025-4/-20,Missing/Wrong item
2725,O115846,024-9/-16,Missing/Wrong item
2726,O115854,024-5/-15,Defective
2727,O115856,25-/2-6/,Missing/Wrong item
2728,O115887,025-2/-10,Defective
2729,O115905,024-5/-22,Defective
2730,O115906,25-/2-1/,Missing/Wrong item
2731,O115922,24-/2-3/,No longer needed
2732,O115928,2023-10-31,Not as described
2733,O115952,2024-10-27,Defective
2734,O115954,2024-11-14,Missing/Wrong item
2735,O115967,024-7/-27,Defective
2736,O115973,025-8/-16,Not as described
2737,O115982,24-/2-5/,Not as described
2738,O115987,2023-11-17,Defective
2739,O115998,024-3/-26,Not as described
2740,O116001,25-/2-5/,Defective
2741,O116003,025-5/-17,Missing/Wrong item
2742,O116028,24-/2-3/,Not as described
2743,O116043,025-2/-15,Defective
2744,O116050,024-8/-19,Defective
2745,O116057,25-/2-4/,No longer needed
2746,O116060,2024-12-30,Defective
2747,O116103,024-7/-24,Defective
2748,O116107,024-8/-21,Missing/Wrong item
2749,O116134,025-4/-11,Missing/Wrong item
2750,O116143,025-3/-27,Not as described
2751,O116170,2024-11-14,Not as described
2752,O116174,025-6/-13,No longer needed
2753,O116223,025-2/-28,Slow delivery
2754,O116229,2024-11-15,Defective
2755,O116238,025-8/-28,No longer needed
2756,O116241,025-1/-14,Not as described
2757,O116244,025-4/-27,Missing/Wrong item
2758,O116262,024-5/-16,Defective
2759,O116294,024-4/-30,Not as described
2760,O116318,025-9/-22,Not as described
2761,O116320,024-3/-10,Not as described
2762,O116340,24-/2-6/,No longer needed
2763,O116355,2024-12-19,Not as described
2764,O116366,24-/2-6/,No longer needed
2765,O116371,2024-11-18,Not as described
2766,O116402,025-4/-16,Defective
2767,O116415,024-4/-16,Missing/Wrong item
2768,O116426,024-9/-10,Not as described
2769,O116452,25-/2-2/,Defective
2770,O116488,24-/2-6/,Not as described
2771,O116497,024-5/-24,Slow delivery
2772,O116500,25-/2-6/,Missing/Wrong item
2773,O116511,024-1/-22,Defective
2774,O116539,024-7/-31,Defective
2775,O116570,2024-12-31,Missing/Wrong item
2776,O116597,2024-12-20,Not as described
2777,O116603,025-4/-25,Not as described
2778,O116606,024-7/-23,Missing/Wrong item
2779,O116619,024-8/-14,No longer needed
2780,O116633,2024-11-24,Defective
2781,O116645,025-7/-10,Missing/Wrong item
2782,O116648,25-/2-1/,No longer needed
2783,O116659,024-6/-12,Defective
2784,O116666,025-6/-12,Defective
2785,O116685,024-7/-28,Missing/Wrong item
2786,O116709,24-/2-6/,No longer needed
2787,O116716,24-/2-2/,Defective
2788,O116729,2023-10-20,Defective
2789,O116732,024-7/-31,No longer needed
2790,O116786,025-6/-20,No longer needed
2791,O116805,025-9/-22,Not as described
2792,O116806,024-1/-8/,Not as described
2793,O116822,24-/2-8/,Missing/Wrong item
2794,O116843,25-/2-7/,Not as described
2795,O116846,2024-11-23,Missing/Wrong item
2796,O116850,024-4/-15,Not as described
2797,O116887,2023-10-18,Missing/Wrong item
2798,O116908,25-/2-6/,Not as described
2799,O116927,024-2/-20,Missing/Wrong item
2800,O116959,2024-12-22,No longer needed
2801,O116964,025-9/-23,Not as described
2802,O116967,25-/2-4/,Defective
2803,O116976,024-5/-26,Missing/Wrong item
2804,O116984,024-8/-17,No longer needed
2805,O116989,024-5/-11,No longer needed
2806,O117001,023-1/-1/,Not as described
2807,O117014,024-9/-26,Defective
2808,O117017,025-3/-27,Slow delivery
2809,O117018,24-/2-8/,Not as described
2810,O117024,024-4/-12,Defective
2811,O117027,2023-12-12,Not as described
2812,O117053,24-/2-2/,No longer needed
2813,O117066,2024-11-26,Missing/Wrong item
2814,O117081,25-/2-3/,No longer needed
2815,O117109,025-8/-11,No longer needed
2816,O117110,024-7/-29,Missing/Wrong item
2817,O117115,25-/2-4/,Missing/Wrong item
2818,O117145,2024-10-14,Missing/Wrong item
2819,O117158,2023-10-11,No longer needed
2820,O117160,2024-12-15,Missing/Wrong item
2821,O117197,24-/2-4/,Not as described
2822,O117198,025-8/-29,Not as described
2823,O117216,024-5/-25,Not as described
2824,O117222,24-/2-1/,Not as described
2825,O117245,2024-12-12,Defective
2826,O117248,024-3/-25,Defective
2827,O117249,24-/2-6/,No longer needed
2828,O117263,025-2/-23,No longer needed
2829,O117268,24-/2-8/,Missing/Wrong item
2830,O117304,024-2/-1/,No longer needed
2831,O117342,023-0/-1/,Missing/Wrong item
2832,O117479,025-9/-19,Missing/Wrong item
2833,O117486,24-/2-9/,No longer needed
2834,O117518,25-/2-4/,Defective
2835,O117534,024-6/-28,Missing/Wrong item
2836,O117546,24-/2-9/,Defective
2837,O117556,024-7/-28,No longer needed
2838,O117597,024-1/-2/,Not as described
2839,O117613,024-0/-2/,No longer needed
2840,O117697,024-6/-11,Defective
2841,O117712,024-1/-2/,Missing/Wrong item
2842,O117726,024-7/-29,Defective
2843,O117737,024-5/-29,No longer needed
2844,O117742,24-/2-4/,Defective
2845,O117770,025-8/-10,Missing/Wrong item
2846,O117809,2023-11-13,Defective
2847,O117826,025-4/-10,Missing/Wrong item
2848,O117828,024-3/-13,No longer needed
2849,O117833,025-1/-16,No longer needed
2850,O117898,2024-11-25,Not as described
2851,O117913,025-7/-30,Missing/Wrong item
2852,O117920,25-/2-5/,No longer needed
2853,O117933,024-8/-13,Missing/Wrong item
2854,O117987,025-2/-25,Not as described
2855,O117997,024-6/-19,Defective
2856,O118013,2024-10-10,Not as described
2857,O118018,025-7/-26,Not as described
2858,O118048,25-/2-1/,Defective
2859,O118054,024-5/-11,Defective
2860,O118062,024-7/-31,Defective
2861,O118065,024-5/-10,Not as described
2862,O118073,2025-10-16,No longer needed
2863,O118085,024-8/-30,No longer needed
2864,O118111,2024-12-31,No longer needed
2865,O118151,025-7/-14,No longer needed
2866,O118179,025-5/-28,Not as described
2867,O118192,25-/2-2/,No longer needed
2868,O118199,024-5/-21,Missing/Wrong item
2869,O118206,24-/2-1/,Missing/Wrong item
2870,O118264,025-5/-20,Defective
2871,O118276,25-/2-1/,Missing/Wrong item
2872,O118299,024-1/-25,Defective
2873,O118309,25-/2-4/,Not as described
2874,O118367,025-2/-20,No longer needed
2875,O118370,25-/2-1/,No longer needed
2876,O118371,025-8/-12,Not as described
2877,O118378,25-/2-5/,No longer needed
2878,O118456,25-/2-6/,Missing/Wrong item
2879,O118501,2024-10-21,Not as described
2880,O118506,24-/2-8/,Defective
2881,O118513,2023-12-27,Missing/Wrong item
2882,O118569,2023-11-26,Not as described
2883,O118574,024-6/-29,No longer needed
2884,O118591,2023-12-12,Not as described
2885,O118601,025-7/-23,Defective
2886,O118622,024-8/-14,No longer needed
2887,O118634,025-1/-31,Not as described
2888,O118643,024-0/-5/,Not as described
2889,O118662,25-/2-2/,No longer needed
2890,O118676,024-0/-3/,Not as described
2891,O118691,25-/2-1/,Missing/Wrong item
2892,O118721,024-7/-15,Missing/Wrong item
2893,O118723,2024-12-17,Defective
2894,O118762,25-/2-8/,Missing/Wrong item
2895,O118767,024-1/-10,No longer needed
2896,O118771,025-4/-23,Not as described
2897,O118869,024-3/-21,Not as described
2898,O118901,025-5/-24,Slow delivery
2899,O118930,024-2/-25,Defective
2900,O118935,025-6/-27,Not as described
2901,O118997,2023-11-14,Not as described
2902,O119008,025-7/-24,Missing/Wrong item
2903,O119014,2023-10-30,Defective
2904,O119017,24-/2-7/,Not as described
2905,O119031,024-1/-14,Not as described
2906,O119036,2024-11-28,No longer needed
2907,O119053,024-0/-9/,No longer needed
2908,O119061,25-/2-3/,Missing/Wrong item
2909,O119081,024-8/-29,Missing/Wrong item
2910,O119092,2023-11-26,Not as described
2911,O119097,2023-11-24,Not as described
2912,O119124,025-9/-22,Defective
2913,O119134,024-5/-11,Missing/Wrong item
2914,O119136,024-4/-27,Not as described
2915,O119166,24-/2-9/,Missing/Wrong item
2916,O119191,25-/2-4/,Defective
2917,O119202,24-/2-7/,Missing/Wrong item
2918,O119205,25-/2-1/,Missing/Wrong item
2919,O119211,024-1/-19,Defective
2920,O119216,24-/2-2/,Defective
2921,O119222,24-/2-2/,Missing/Wrong item
2922,O119228,024-9/-29,Defective
2923,O119241,24-/2-5/,No longer needed
2924,O119254,024-7/-21,Defective
2925,O119281,024-9/-21,Not as described
2926,O119289,2023-12-18,Missing/Wrong item
2927,O119347,024-8/-17,Not as described
2928,O119355,25-/2-9/,No longer needed
2929,O119356,2024-12-13,No longer needed
2930,O119362,024-5/-27,Missing/Wrong item
2931,O119364,2024-10-21,No longer needed
2932,O119368,24-/2-5/,Not as described
2933,O119376,025-6/-23,Defective
2934,O119384,2024-10-13,Defective
2935,O119413,2024-10-17,No longer needed
2936,O119440,024-2/-17,No longer needed
2937,O119445,025-5/-25,No longer needed
2938,O119455,25-/2-4/,Not as described
2939,O119456,024-9/-17,Defective
2940,O119488,024-5/-28,Missing/Wrong item
2941,O119503,24-/2-3/,Not as described
2942,O119507,025-9/-14,Defective
2943,O119510,2024-12-12,Not as described
2944,O119512,024-5/-14,Defective
2945,O119517,025-4/-22,Missing/Wrong item
2946,O119554,24-/2-8/,Defective
2947,O119601,25-/2-6/,Not as described
2948,O119641,2024-10-24,Missing/Wrong item
2949,O119658,25-/2-6/,Not as described
2950,O119676,025-1/-18,Not as described
2951,O119692,2024-12-10,No longer needed
2952,O119717,2024-11-12,Defective
2953,O119726,24-/2-1/,Not as described
2954,O119733,2023-12-30,Defective
2955,O119739,2024-11-15,No longer needed
2956,O119747,25-/2-9/,Defective
2957,O119768,024-9/-14,Not as described
2958,O119777,025-8/-14,Missing/Wrong item
2959,O119788,025-6/-11,Defective
2960,O119796,2023-11-25,Defective
2961,O119815,025-5/-19,Missing/Wrong item
2962,O119835,023-2/-6/,Missing/Wrong item
2963,O119845,024-7/-26,No longer needed
2964,O119908,025-1/-18,Missing/Wrong item
2965,O119924,024-2/-10,Missing/Wrong item
2966,O119933,024-8/-20,Not as described
2967,O119944,25-/2-5/,No longer needed
2968,O119947,023-2/-5/,Missing/Wrong item
2969,O119952,2024-12-28,No longer needed
2970,O119969,024-5/-10,Missing/Wrong item
2971,O119981,025-8/-28,No longer needed
2972,O119993,025-6/-26,Not as described
2973,O120007,024-7/-15,Missing/Wrong item
2974,O120017,024-1/-26,Missing/Wrong item
2975,O120039,025-5/-13,Defective
2976,O120047,25-/2-8/,Missing/Wrong item
2977,O120067,025-5/-17,Defective
2978,O120089,24-/2-6/,No longer needed
2979,O120132,024-4/-30,Defective
2980,O120137,024-9/-14,No longer needed
2981,O120142,25-/2-9/,Missing/Wrong item
2982,O120143,024-2/-25,Missing/Wrong item
2983,O120144,25-/2-5/,Defective
2984,O120157,025-6/-14,No longer needed
2985,O120160,24-/2-6/,Slow delivery
2986,O120166,025-9/-14,Not as described
2987,O120197,025-1/-22,No longer needed
2988,O120257,024-4/-20,Missing/Wrong item
2989,O120316,25-/2-6/,Not as described
2990,O120336,25-/2-3/,No longer needed
2991,O120393,024-3/-22,Missing/Wrong item
2992,O120395,25-/2-3/,Not as described
2993,O120408,023-1/-4/,Missing/Wrong item
2994,O120409,24-/2-4/,Not as described
2995,O120414,2024-10-31,No longer needed
2996,O120427,024-1/-31,No longer needed
2997,O120441,25-/2-5/,No longer needed
2998,O120462,025-3/-30,Not as described
2999,O120468,024-1/-11,No longer needed
3000,O120507,24-/2-9/,Not as described
3001,O120515,25-/2-6/,Defective
3002,O120527,025-5/-16,Missing/Wrong item
3003,O120560,025-3/-21,Defective
3004,O120567,024-1/-28,Not as described
3005,O120573,025-8/-25,No longer needed
3006,O120584,24-/2-9/,No longer needed
3007,O120595,024-1/-16,Not as described
3008,O120617,25-/2-6/,Missing/Wrong item
3009,O120633,2023-12-15,No longer needed
3010,O120639,025-4/-12,Defective
3011,O120647,2023-11-29,Missing/Wrong item
3012,O120656,025-7/-29,No longer needed
3013,O120683,25-/2-1/,Not as described
3014,O120695,25-/2-8/,Defective
3015,O120700,024-2/-29,Not as described
3016,O120706,24-/2-1/,No longer needed
3017,O120726,24-/2-2/,Missing/Wrong item
3018,O120746,025-4/-27,No longer needed
3019,O120754,024-7/-20,No longer needed
3020,O120762,024-7/-31,No longer needed
3021,O120775,024-1/-5/,Missing/Wrong item
3022,O120795,25-/2-6/,Defective
3023,O120796,025-2/-15,Not as described
3024,O120798,25-/2-8/,Not as described
3025,O120817,2023-11-12,Missing/Wrong item
3026,O120827,2023-11-22,No longer needed
3027,O120842,024-2/-15,Defective
3028,O120878,024-3/-27,Not as described
3029,O120893,025-9/-23,Not as described
3030,O120900,2024-10-31,Not as described
3031,O120932,024-4/-24,No longer needed
3032,O120945,2024-10-22,No longer needed
3033,O120985,2024-12-29,No longer needed
3034,O121004,024-5/-16,No longer needed
3035,O121025,25-/2-8/,No longer needed
3036,O121037,24-/2-3/,Not as described
3037,O121058,25-/2-3/,Defective
3038,O121066,2023-11-19,Not as described
3039,O121101,2024-12-10,No longer needed
3040,O121115,024-2/-19,Missing/Wrong item
3041,O121118,023-1/-4/,Not as described
3042,O121119,024-6/-18,Defective
3043,O121122,025-9/-10,Not as described
3044,O121127,024-9/-30,No longer needed
3045,O121134,025-3/-23,No longer needed
3046,O121140,025-1/-15,Missing/Wrong item
3047,O121148,024-2/-3/,Missing/Wrong item
3048,O121164,024-1/-26,Missing/Wrong item
3049,O121171,025-4/-27,Defective
3050,O121174,025-6/-29,Not as described
3051,O121180,024-5/-15,Missing/Wrong item
3052,O121190,025-2/-24,Defective
3053,O121199,2024-12-28,Defective
3054,O121214,024-7/-19,No longer needed
3055,O121261,2023-10-31,Defective
3056,O121264,024-4/-23,Not as described
3057,O121271,25-/2-3/,Slow delivery
3058,O121278,2023-10-16,Not as described
3059,O121296,2024-11-14,Defective
3060,O121318,025-5/-25,Defective
3061,O121338,2023-12-21,Missing/Wrong item
3062,O121351,25-/2-2/,Not as described
3063,O121356,023-1/-2/,Missing/Wrong item
3064,O121359,2023-10-12,Missing/Wrong item
3065,O121369,2023-12-23,No longer needed
3066,O121410,024-7/-29,Missing/Wrong item
3067,O121412,24-/2-2/,Not as described
3068,O121421,024-4/-16,Missing/Wrong item
3069,O121438,024-5/-13,Not as described
3070,O121458,25-/2-2/,Not as described
3071,O121464,025-5/-25,No longer needed
3072,O121476,025-6/-18,Missing/Wrong item
3073,O121480,023-0/-8/,Missing/Wrong item
3074,O121493,2023-11-13,Defective
3075,O121511,025-7/-11,Defective
3076,O121515,024-2/-5/,Defective
3077,O121517,24-/2-1/,Defective
3078,O121519,025-2/-19,No longer needed
3079,O121521,2024-12-28,No longer needed
3080,O121608,25-/2-4/,Defective
3081,O121642,24-/2-7/,Missing/Wrong item
3082,O121665,025-2/-13,Not as described
3083,O121672,025-6/-26,Not as described
3084,O121695,2024-10-11,Defective
3085,O121696,2024-10-27,Missing/Wrong item
3086,O121722,023-1/-6/,Missing/Wrong item
3087,O121731,24-/2-8/,Defective
3088,O121741,025-1/-20,Not as described
3089,O121744,025-7/-15,Defective
3090,O121750,025-8/-31,No longer needed
3091,O121767,024-9/-23,No longer needed
3092,O121769,025-0/-9/,Missing/Wrong item
3093,O121782,023-1/-5/,Not as described
3094,O121794,025-8/-23,Defective
3095,O121803,024-7/-15,Defective
3096,O121806,023-1/-9/,Defective
3097,O121823,024-5/-31,No longer needed
3098,O121873,024-1/-21,Defective
3099,O121888,025-5/-18,Defective
3100,O121903,025-5/-23,Missing/Wrong item
3101,O121913,023-1/-7/,Slow delivery
3102,O121920,24-/2-9/,Defective
3103,O121984,025-6/-10,No longer needed
3104,O122033,24-/2-2/,Missing/Wrong item
3105,O122042,25-/2-2/,Not as described
3106,O122087,2023-10-26,Not as described
3107,O122100,025-3/-30,No longer needed
3108,O122129,024-5/-16,Defective
3109,O122148,025-4/-21,Not as described
3110,O122158,24-/2-9/,Not as described
3111,O122177,024-3/-26,No longer needed
3112,O122191,2024-10-18,Missing/Wrong item
3113,O122208,025-3/-28,Defective
3114,O122240,023-9/-29,Not as described
3115,O122249,025-6/-27,No longer needed
3116,O122262,25-/2-2/,No longer needed
3117,O122284,024-5/-13,Not as described
3118,O122285,2023-11-22,No longer needed
3119,O122309,024-3/-18,Defective
3120,O122320,025-9/-10,Missing/Wrong item
3121,O122323,024-1/-1/,No longer needed
3122,O122329,023-1/-8/,Not as described
3123,O122333,025-3/-13,No longer needed
3124,O122334,24-/2-5/,Not as described
3125,O122343,2023-10-14,Missing/Wrong item
3126,O122352,25-/2-9/,No longer needed
3127,O122357,024-9/-19,Defective
3128,O122372,2024-12-28,No longer needed
3129,O122378,2023-12-30,Slow delivery
3130,O122404,024-6/-12,No longer needed
3131,O122492,024-5/-19,Not as described
3132,O122513,025-8/-13,Defective
3133,O122514,24-/2-9/,No longer needed
3134,O122521,24-/2-4/,Missing/Wrong item
3135,O122558,024-8/-29,Defective
3136,O122578,2023-12-21,No longer needed
3137,O122583,024-6/-11,Missing/Wrong item
3138,O122615,2023-10-20,No longer needed
3139,O122621,024-5/-17,Not as described
3140,O122633,2024-12-16,No longer needed
3141,O122650,025-4/-11,Defective
3142,O122671,023-2/-3/,Not as described
3143,O122675,24-/2-7/,Not as described
3144,O122716,024-4/-18,Missing/Wrong item
3145,O122729,024-3/-30,Defective
3146,O122777,025-7/-10,Defective
3147,O122783,024-7/-31,Missing/Wrong item
3148,O122788,024-6/-26,Missing/Wrong item
3149,O122818,24-/2-7/,No longer needed
3150,O122820,025-8/-11,Missing/Wrong item
3151,O122830,25-/2-1/,Defective
3152,O122841,024-3/-25,Missing/Wrong item
3153,O122855,025-0/-1/,No longer needed
3154,O122875,2023-11-19,No longer needed
3155,O122880,2023-11-20,Missing/Wrong item
3156,O122886,25-/2-2/,Defective
3157,O122901,025-6/-15,No longer needed
3158,O122923,025-4/-12,Not as described
3159,O122925,025-9/-17,No longer needed
3160,O122957,24-/2-2/,Not as described
3161,O122964,023-9/-28,Not as described
3162,O122965,024-3/-23,Missing/Wrong item
3163,O123000,25-/2-5/,Defective
3164,O123001,24-/2-9/,Not as described
3165,O123026,025-6/-22,No longer needed
3166,O123030,025-5/-30,Defective
3167,O123038,024-3/-28,Not as described
3168,O123042,025-8/-10,Missing/Wrong item
3169,O123050,024-1/-9/,No longer needed
3170,O123101,025-6/-11,No longer needed
3171,O123116,024-7/-31,Not as described
3172,O123123,2023-12-15,Missing/Wrong item
3173,O123145,025-8/-28,Not as described
3174,O123146,024-3/-15,No longer needed
